id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,senate_class,state_rank,lis_id
F000246,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000246.json,Pat,,Fallon,,1967-12-19,M,R,,RepPatFallon,,,456845,,,,N00047264,/m/0100nvdw,H0TX04219,https://fallon.house.gov,,,True,,,,2,2022,865.0,25.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:tx/cd:4,1118 Longworth House Office Building,202-225-6673,,TX,4,False,4804,2.89,92.34,7.54,,,
F000446,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000446.json,Randy,,Feenstra,,1969-01-14,M,R,,RepFeenstra,,,456818,,103301,,N00044011,/m/05p06tx,H0IA04145,https://feenstra.house.gov,,,True,,,,2,2022,865.0,1.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ia/cd:4,1440 Longworth House Office Building,202-225-4426,,IA,4,False,1904,0.12,97.79,2.1,,,
F000465,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000465.json,A.,Drew,Ferguson,,1966-11-15,M,R,,RepDrewFerguson,RepDrewFerguson,,412700,104731,168132,21717,N00039090,/g/11c0xj334k,H6GA03113,https://ferguson.house.gov,,,True,,0.598,,6,2022,865.0,14.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:ga/cd:3,1032 Longworth House Office Building,202-225-5901,,GA,3,False,1303,1.62,95.98,3.91,,,
L000273,Representative,Rep.,https://api.propublica.org/congress/v1/members/L000273.json,Teresa,Leger,Fernandez,,1959-07-01,F,D,,RepTeresaLF,,,456835,,,,N00044559,/g/11h_x7n8f5,H0NM03102,https://fernandez.house.gov,,,True,,,,2,2022,865.0,4.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:nm/cd:3,1432 Longworth House Office Building,202-225-6190,,NM,3,False,3503,0.46,99.19,0.7,,,
F000470,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000470.json,Michelle,,Fischbach,,1965-11-03,F,R,,RepFischbach,,,456828,,,,N00045251,/m/063_kp4,H0MN07091,https://fischbach.house.gov,,,True,,,,2,2022,865.0,0.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:mn/cd:7,1237 Longworth House Office Building,202-225-2165,,MN,7,False,2707,0.0,97.44,2.44,,,
F000471,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000471.json,Scott,,Fitzgerald,,1963-11-16,M,R,,RepFitzgerald,,,456855,,3446,,N00045434,/m/03nvqsc,H0WI05113,https://fitzgerald.house.gov,,,True,,,,2,2022,865.0,11.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:wi/cd:5,1507 Longworth House Office Building,202-225-5101,,WI,5,False,5505,1.27,95.41,4.48,,,
F000466,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000466.json,Brian,,Fitzpatrick,,1973-12-17,M,R,,repbrianfitz,repbrianfitzpatrick,,412721,103537,167708,21718,N00038779,/g/11c2l6lhlm,H6PA08277,https://fitzpatrick.house.gov,,,True,,0.16,,6,2022,865.0,1.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:pa/cd:1,271 Cannon House Office Building,202-225-4276,,PA,1,False,4201,0.12,77.27,22.61,,,
F000459,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000459.json,Chuck,,Fleischmann,,1962-10-11,M,R,,RepChuck,repchuck,repchuck,412476,95146,123456,21178,N00030815,/m/0ddd54f,H0TN03254,https://fleischmann.house.gov,https://fleischmann.house.gov/rss.xml,,True,,0.458,,12,2022,865.0,0.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:tn/cd:3,462 Cannon House Office Building,202-225-3271,,TN,3,False,4703,0.0,96.62,3.26,,,
F000468,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000468.json,Lizzie,,Fletcher,,1975-02-13,F,D,,RepFletcher,,,412824,,177031,,N00041194,/g/11gzqssv7p,H8TX07140,https://fletcher.house.gov,,,True,,,,4,2022,865.0,2.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:tx/cd:7,119 Cannon House Office Building,202-225-2571,,TX,7,False,4807,0.23,97.21,2.67,,,
F000474,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000474.json,Mike,,Flood,,1975-02-23,M,R,,,,,456868,,,,,,,,,,True,,,,2,,117.0,0.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ne/cd:1,,,,NE,1,False,3101,0.0,98.29,1.71,,,
F000473,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000473.json,Mayra,,Flores,,1986-01-01,F,R,,,,,456867,,,,,,,,,,True,,,,2,,140.0,0.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:tx/cd:34,,,,TX,34,False,4834,0.0,97.14,2.86,,,
F000449,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000449.json,Jeff,,Fortenberry,,1960-12-27,M,R,,JeffFortenberry,jefffortenberry,JeffFortenberry,400640,1013049,41929,20518,N00026631,/m/04fcch,H4NE01064,https://fortenberry.house.gov,https://fortenberry.house.gov/rss.xml,,False,,0.304,,18,2022,550.0,29.0,0.0,2022-07-29 21:32:44 -0400,ocd-division/country:us/state:ne/cd:1,1514 Longworth House Office Building,202-225-4806,,NE,1,False,3101,5.27,93.79,6.02,,,
F000454,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000454.json,Bill,,Foster,,1955-10-07,M,D,,RepBillFoster,CongressmanBillFoster,RepBillFoster,412257,1027346,101632,20749,N00029139,/m/02rq8nc,H8IL14067,https://foster.house.gov,https://foster.house.gov/rss.xml,,True,,-0.23,,10,2022,865.0,2.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:il/cd:11,2366 Rayburn House Office Building,202-225-3515,,IL,11,False,1711,0.23,99.3,0.58,,,
F000450,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000450.json,Virginia,,Foxx,,1943-06-29,F,R,,VirginiaFoxx,RepVirginiaFoxx,repvirginiafoxx,400643,1013052,6051,20521,N00026166,/m/02b5dz,H4NC05146,https://foxx.house.gov,https://foxx.house.gov/news/rss.aspx,,True,,0.626,,16,2022,865.0,54.0,0.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:nc/cd:5,2462 Rayburn House Office Building,202-225-2071,,NC,5,False,3705,6.24,94.41,5.47,,,
F000462,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000462.json,Lois,,Frankel,,1948-05-16,F,D,,RepLoisFrankel,RepLoisFrankel,reploisfrankel,412529,623714,8102,21321,N00002893,/m/0gjdw8_,H2FL14053,https://frankel.house.gov,,,True,,-0.401,,10,2022,865.0,13.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:fl/cd:21,2305 Rayburn House Office Building,202-225-9890,,FL,21,False,1221,1.5,98.47,1.41,,,
F000472,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000472.json,Scott,,Franklin,,1964-08-23,M,R,,RepFranklin,,,456807,,,,N00046760,/g/11ft5hszwx,H0FL15104,https://franklin.house.gov,,,True,,,,2,2022,865.0,18.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:fl/cd:15,1517 Longworth House Office Building,202-225-1252,,FL,15,False,1215,2.08,95.12,4.76,,,
F000455,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000455.json,Marcia,L.,Fudge,,1952-10-29,F,D,,RepMarciaFudge,RepMarciaLFudge,marcialfudge,412327,1030928,110640,20941,N00030490,/m/04n11v9,H8OH11141,https://fudge.house.gov,,,False,,-0.581,,16,2022,72.0,14.0,0.0,2022-07-29 21:32:44 -0400,ocd-division/country:us/state:oh/cd:11,2344 Rayburn House Office Building,202-225-7032,,OH,11,False,3911,19.44,96.49,1.75,,,
F000469,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000469.json,Russ,,Fulcher,,1973-07-19,M,R,,RepRussFulcher,,,412773,,33091,,N00041335,/m/05h4vgh,H8ID01124,https://fulcher.house.gov,,,True,,,,4,2022,865.0,44.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:id/cd:1,1520 Longworth House Office Building,202-225-6611,,ID,1,False,1601,5.09,92.28,7.6,,,
G000578,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000578.json,Matt,,Gaetz,,1982-05-07,M,R,,RepMattGaetz,CongressmanMattGaetz,,412690,104528,117101,21719,N00039503,/m/0s8w2_s,H6FL01119,https://gaetz.house.gov,https://gaetz.house.gov/rss.xml,,True,,0.611,,6,2022,865.0,22.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:fl/cd:1,1721 Longworth House Office Building,202-225-4136,,FL,1,False,1201,2.54,76.37,23.51,,,
G000579,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000579.json,Mike,,Gallagher,,1984-03-03,M,R,,RepGallagher,RepMikeGallagher,,412731,104067,171843,21720,N00039330,/g/11c5qns1cc,H6WI08155,https://gallagher.house.gov,https://gallagher.house.gov/rss.xml,,True,,0.441,,6,2022,865.0,10.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:wi/cd:8,1230 Longworth House Office Building,202-225-5665,,WI,8,False,5508,1.16,95.64,4.24,,,
G000574,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000574.json,Ruben,,Gallego,,1979-11-20,M,D,,RepRubenGallego,RepRubenGallego,,412612,77233,123732,21502,N00036097,/m/0wy0mz5,H4AZ07043,https://rubengallego.house.gov,https://rubengallego.house.gov/rss.xml,,True,,-0.45,,8,2022,865.0,5.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:az/cd:7,1131 Longworth House Office Building,202-225-4065,,AZ,7,False,0407,0.58,98.83,1.05,,,
G000559,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000559.json,John,,Garamendi,,1945-01-24,M,D,,RepGaramendi,repgaramendi,garamendiCA10,412382,18413,29664,20958,N00030856,/m/05fvls,H0CA10149,https://garamendi.house.gov,https://garamendi.house.gov/rss.xml,,True,,-0.309,,14,2022,865.0,9.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:ca/cd:3,2368 Rayburn House Office Building,202-225-1880,,CA,3,False,0603,1.04,98.95,0.94,,,
G000597,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000597.json,Andrew,,Garbarino,,1984-09-27,M,R,,RepGarbarino,,,456836,,,,N00046030,/g/11bw8f4j8q,H0NY02234,https://garbarino.house.gov,,,True,,,,2,2022,865.0,15.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:ny/cd:2,1516 Longworth House Office Building,202-225-7896,,NY,2,False,3602,1.73,92.54,7.35,,,
G000586,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000586.json,Jesús,,García,,1956-04-12,M,D,,RepChuyGarcia,,,412774,,6261,,N00042114,/m/012c8r5x,H8IL04134,https://chuygarcia.house.gov,,,True,,,,4,2022,865.0,8.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:il/cd:4,1519 Longworth House Office Building,202-225-8203,,IL,4,False,1704,0.92,96.61,3.27,,,
G000061,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000061.json,Mike,,Garcia,,1976-04-24,M,R,,RepMikeGarcia,RepMikeGarcia,,456792,,,,N00044298,/g/11j2j3x1pl,H0CA25105,https://mikegarcia.house.gov,,,True,,,,4,2022,865.0,8.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:ca/cd:25,1535 Longworth House Office Building,202-225-1956,,CA,25,False,0625,0.92,94.6,5.28,,,
G000587,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000587.json,Sylvia,,Garcia,,1950-09-06,F,D,,RepSylviaGarcia,,,412827,,49734,,N00042282,/m/0ryt4bt,H8TX29052,https://sylviagarcia.house.gov,,,True,,,,4,2022,865.0,4.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:tx/cd:29,1620 Longworth House Office Building,202-225-1688,,TX,29,False,4829,0.46,94.88,5.01,,,
G000563,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000563.json,Bob,,Gibbs,,1954-06-14,M,R,,RepBobGibbs,RepBobGibbs,RepBobGibbs,412463,1033844,45466,21165,N00031128,/m/07qwv4,H0OH18077,https://gibbs.house.gov,https://gibbs.house.gov/rss.xml,,True,,0.482,,12,2022,865.0,28.0,1.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:oh/cd:7,2217 Rayburn House Office Building,202-225-6265,,OH,7,False,3907,3.24,97.0,2.88,,,
G000593,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000593.json,Carlos,,Giménez,,1954-01-17,M,R,,RepCarlos,,,456809,,81366,,N00046394,/m/03cc6vt,H0FL26036,https://gimenez.house.gov,,,True,,,,2,2022,865.0,1.0,1.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:fl/cd:26,419 Cannon House Office Building,202-225-2778,,FL,26,False,1226,0.12,93.24,6.64,,,
G000552,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000552.json,Louie,,Gohmert,,1953-08-18,M,R,,RepLouieGohmert,50375006903,GohmertTX01,400651,1011394,50029,20527,N00026148,/m/0490h9,H4TX04039,https://gohmert.house.gov,https://gohmert.house.gov/news/rss.aspx,,True,,0.641,,18,2022,865.0,59.0,0.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:tx/cd:1,2269 Rayburn House Office Building,202-225-3035,,TX,1,False,4801,6.82,79.93,19.95,,,
G000592,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000592.json,Jared,,Golden,,1982-07-25,M,D,,repgolden,,,412842,,151420,,N00041668,/g/11f1224576,H8ME02185,https://golden.house.gov,,,True,,,,4,2022,865.0,27.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:me/cd:2,1222 Longworth House Office Building,202-225-6306,,ME,2,False,2302,3.12,91.99,7.89,,,
G000585,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000585.json,Jimmy,,Gomez,,1974-11-25,M,D,,RepJimmyGomez,RepJimmyGomez,,412739,108883,138524,21754,N00040597,/m/0n_73h1,H8CA34266,https://gomez.house.gov,,,True,,-0.572,,6,2022,865.0,5.0,1.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ca/cd:34,1530 Longworth House Office Building,202-225-6235,,CA,34,False,0634,0.58,98.48,1.4,,,
G000594,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000594.json,Tony,,Gonzales,,1980-10-10,M,R,,RepTonyGonzales,,,456849,,,,N00044592,/g/11fs52clcr,H0TX35015,https://gonzales.house.gov,,,True,,,,2,2022,865.0,3.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:tx/cd:23,1009 Longworth House Office Building,202-225-4511,,TX,23,False,4823,0.35,94.75,5.13,,,
G000581,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000581.json,Vicente,,Gonzalez,,1967-09-04,M,D,,RepGonzalez,USCongressmanVicenteGonzalez,,412725,103568,166483,21722,N00038809,/g/11c266m1z7,H6TX15162,https://gonzalez.house.gov,https://gonzalez.house.gov/rss.xml,,True,,-0.378,,6,2022,865.0,46.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:tx/cd:15,113 Cannon House Office Building,202-225-2531,,TX,15,False,4815,5.32,97.18,2.69,,,
G000588,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000588.json,Anthony,,Gonzalez,,1984-09-19,M,R,,RepAGonzalez,,,412807,,178867,,N00041690,/m/0gznlq,H8OH16124,https://anthonygonzalez.house.gov,,,True,,,,4,2022,865.0,51.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:oh/cd:16,2458 Rayburn House Office Building,202-225-3876,,OH,16,False,3916,5.9,88.86,11.01,,,
G000582,Resident Commissioner,R.C.,https://api.propublica.org/congress/v1/members/G000582.json,Jenniffer,,González-Colón,,1976-08-05,F,R,,repjenniffer,RepJennifferGonzalezColon,,412723,67353,,,N00037615,/m/027s3vf,,https://gonzalez-colon.house.gov,https://gonzalez-colon.house.gov/rss.xml,,True,,,,6,2022,11.0,0.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:pr/cd:80,,,,PR,At-Large,True,7298,0.0,72.73,27.27,,,
G000595,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000595.json,Robert,,Good,,1965-09-11,M,R,,RepBobGood,,,456853,,,,N00045557,/g/11fsfm06kc,H0VA05160,https://good.house.gov,,,True,,,,2,2022,865.0,35.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:va/cd:5,1213 Longworth House Office Building,202-225-4711,,VA,5,False,5105,4.05,77.82,22.06,,,
G000589,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000589.json,Lance,,Gooden,,1982-12-01,M,R,,RepLanceGooden,,,412822,,177282,,N00042237,/m/0jkx4bp,H8TX05144,https://gooden.house.gov,,,True,,,,4,2022,865.0,2.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:tx/cd:5,1722 Longworth House Office Building,202-225-3484,,TX,5,False,4805,0.23,85.08,14.8,,,
G000565,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000565.json,Paul,,Gosar,,1958-11-22,M,R,,RepGosar,repgosar,repgosar,412397,62470,123491,21103,N00030771,/m/0czdqz0,H0AZ01259,https://gosar.house.gov,,,True,,0.697,,12,2022,865.0,16.0,2.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:az/cd:4,2057 Rayburn House Office Building,202-225-2315,,AZ,4,False,0404,1.85,77.16,22.72,,,
G000583,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000583.json,Josh,,Gottheimer,,1975-03-08,M,D,,RepJoshG,RepJoshG,,412714,9275683,169202,21723,N00036944,/g/120x5twv,H6NJ05171,https://gottheimer.house.gov,,,True,,-0.149,,6,2022,865.0,8.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:nj/cd:5,203 Cannon House Office Building,202-225-4465,,NJ,5,False,3405,0.92,96.02,3.86,,,
G000377,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000377.json,Kay,,Granger,,1943-01-18,F,R,,RepKayGranger,RepKayGranger,RepKayGranger,400157,45709,334,29762,N00008799,/m/03tndx,H6TX12060,https://kaygranger.house.gov,,,True,,0.401,,26,2022,865.0,21.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:tx/cd:12,1026 Longworth House Office Building,202-225-5071,,TX,12,False,4812,2.43,95.11,4.77,,,
G000546,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000546.json,Sam,,Graves,,1963-11-07,M,R,,RepSamGraves,118514606128,,400158,89873,9425,20124,N00013323,/m/03tnfy,H0MO06073,https://graves.house.gov,https://graves.house.gov/rss.xml,,True,,0.443,,22,2022,865.0,4.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:mo/cd:6,1135 Longworth House Office Building,202-225-7041,,MO,6,False,2906,0.46,97.66,2.22,,,
G000577,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000577.json,Garret,,Graves,,1972-01-31,M,R,,RepGarretGraves,CongressmanGarretGraves,,412631,9274609,155424,21523,N00036135,/m/012bxlbr,H4LA06153,https://garretgraves.house.gov,https://garretgraves.house.gov/rss.xml,,True,,0.446,,8,2022,865.0,15.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:la/cd:6,2402 Rayburn House Office Building,202-225-3901,,LA,6,False,2206,1.73,96.92,2.96,,,
G000590,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000590.json,Mark,,Green,,1964-11-08,M,R,,RepMarkGreen,,,412819,,139030,,N00041873,/m/09rx6jq,H8TN07076,https://markgreen.house.gov,,,True,,,,4,2022,865.0,27.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:tn/cd:7,2446 Rayburn House Office Building,202-225-2811,,TN,7,False,4707,3.12,92.2,7.68,,,
G000553,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000553.json,Al,,Green,,1947-09-01,M,D,,RepAlGreen,repalgreen,RepAlGreen,400653,1012969,49680,20529,N00026686,/m/02kn0_,H4TX09095,https://algreen.house.gov,https://algreen.house.gov/rss.xml,,True,,-0.438,,18,2022,865.0,4.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:tx/cd:9,2347 Rayburn House Office Building,202-225-7508,,TX,9,False,4809,0.46,99.07,0.81,,,
G000596,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000596.json,Marjorie,Taylor,Greene,,1974-05-27,F,R,,RepMTG,,,456814,,,,N00044701,/g/11fscs046n,H0GA06192,https://greene.house.gov,,,True,,,,2,2022,865.0,19.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:ga/cd:14,1023 Longworth House Office Building,202-225-5211,,GA,14,False,1314,2.2,71.46,28.42,,,
G000568,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000568.json,Morgan,,Griffith,,1958-03-15,M,R,,RepMGriffith,RepMorganGriffith,RepMorganGriffith,412485,62766,5148,21191,N00032029,/m/025vdrq,H0VA09055,https://morgangriffith.house.gov,https://morgangriffith.house.gov/news/rss.aspx,,True,,0.535,,12,2022,865.0,20.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:va/cd:9,2202 Rayburn House Office Building,202-225-3861,,VA,9,False,5109,2.31,89.66,10.23,,,
G000551,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000551.json,Raúl,M.,Grijalva,,1948-02-19,M,D,,RepraulGrijalva,Rep.Grijalva,raulgrijalvaaz07,400162,1003551,28253,20305,N00025284,/m/024s1z,H2AZ07070,https://grijalva.house.gov,,,True,,-0.598,,20,2022,865.0,20.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:az/cd:3,1511 Longworth House Office Building,202-225-2435,,AZ,3,False,0403,2.31,98.81,1.07,,,
G000576,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000576.json,Glenn,,Grothman,,1955-07-03,M,R,,RepGrothman,RepGrothman,,412661,77282,3493,21559,N00036409,/m/02pnsk2,H4WI06048,https://grothman.house.gov,,,True,,0.6,,8,2022,865.0,8.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:wi/cd:6,1427 Longworth House Office Building,202-225-2476,,WI,6,False,5506,0.92,90.02,9.86,,,
G000591,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000591.json,Michael,,Guest,,1970-02-04,M,R,,RepMichaelGuest,,,412793,,,,N00042458,/g/11gtc4dxpz,H8MS03125,https://guest.house.gov,,,True,,,,4,2022,865.0,88.0,1.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:ms/cd:3,418 Cannon House Office Building,202-225-5031,,MS,3,False,2803,10.17,95.47,4.4,,,
G000558,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000558.json,Brett,,Guthrie,,1964-02-18,M,R,,RepGuthrie,CongressmanGuthrie,BrettGuthrie,412278,1031343,18829,20916,N00029675,/m/0411qqt,H8KY02031,https://guthrie.house.gov,,,True,,0.421,,14,2022,865.0,4.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ky/cd:2,2434 Rayburn House Office Building,202-225-3501,,KY,2,False,2102,0.46,98.13,1.75,,,
H001080,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001080.json,Debra,,Haaland,,1960-12-02,F,D,,RepDebHaaland,,,412800,,149368,,N00040933,/g/11ght0_d8m,H8NM01331,https://haaland.house.gov,,,False,,,,4,2022,77.0,2.0,0.0,2022-07-29 21:32:44 -0400,ocd-division/country:us/state:nm/cd:1,1421 Longworth House Office Building,202-225-6316,,NM,1,False,3501,2.6,97.3,1.35,,,
H001088,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001088.json,Jim,,Hagedorn,,1962-08-04,M,R,,RepHagedorn,,,412788,,146027,,N00031390,/g/11fg5k6588,H0MN01045,https://hagedorn.house.gov,,,False,,,,4,2022,493.0,22.0,0.0,2022-07-29 21:32:44 -0400,ocd-division/country:us/state:mn/cd:1,1433 Longworth House Office Building,202-225-2472,,MN,1,False,2701,4.46,98.71,1.08,,,
H001090,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001090.json,Josh,,Harder,,1986-08-01,M,D,,RepJoshHarder,,,412754,,179326,,N00040853,/g/11fhwknffg,H8CA10126,https://harder.house.gov,,,True,,,,4,2022,865.0,3.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ca/cd:10,209 Cannon House Office Building,202-225-4540,,CA,10,False,0610,0.35,98.02,1.86,,,
H001052,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001052.json,Andy,,Harris,,1957-01-25,M,R,,RepAndyHarrisMD,AndyHarrisMD,RepAndyHarris,412434,1033464,19157,21139,N00029147,/m/02852wc,H8MD01094,https://harris.house.gov,https://harris.house.gov/rss.xml,,True,,0.671,,12,2022,865.0,14.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:md/cd:1,2334 Rayburn House Office Building,202-225-5311,,MD,1,False,2401,1.62,82.17,17.71,,,
H001086,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001086.json,Diana,,Harshbarger,,1960-01-01,F,R,,RepHarshbarger,,,456844,,,,N00046688,/g/11f67z977k,H0TN01118,https://harshbarger.house.gov,,,True,,,,2,2022,865.0,6.0,1.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:tn/cd:1,167 Cannon House Office Building,202-225-6356,,TN,1,False,4701,0.69,91.68,8.21,,,
H001053,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001053.json,Vicky,,Hartzler,,1960-10-13,F,R,,RepHartzler,Congresswoman.Hartzler,repvickyhartzler,412444,95050,8783,21149,N00031005,/m/09v2dv4,H0MO04086,https://hartzler.house.gov,https://hartzler.house.gov/rss.xml,,True,,0.471,,12,2022,865.0,81.0,0.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:mo/cd:4,2235 Rayburn House Office Building,202-225-2876,,MO,4,False,2904,9.36,95.38,4.49,,,
H000324,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000324.json,Alcee,L.,Hastings,,1936-09-05,M,D,,RepHastingsFL,95696782238,RepAlceeHastings,400170,1858,26798,29337,N00002884,/m/02534d,H2FL23021,https://alceehastings.house.gov,https://alceehastings.house.gov/news/rss.aspx,,False,,-0.564,,30,2022,92.0,6.0,0.0,2022-07-29 21:32:44 -0400,ocd-division/country:us/state:fl/cd:20,2365 Rayburn House Office Building,202-225-1313,,FL,20,False,1220,6.52,98.84,1.16,,,
H001081,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001081.json,Jahana,,Hayes,,1973-03-08,F,D,,RepJahanaHayes,,,412763,,181744,,N00043421,/g/11cn8wstn6,H8CT05245,https://hayes.house.gov,,,True,,,,4,2022,865.0,3.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ct/cd:5,1415 Longworth House Office Building,202-225-4476,,CT,5,False,0905,0.35,98.37,1.51,,,
